Test,Dims,Shape,Elements,Feats,Etc,Model,Desc,Time Taken,RMSE,R2,Micro Acc,Bal Acc,Macro Acc,Precision,Recall F1,
Test 1,2,"(98221, 6)",98221,6,Full,DummyRegressor,DummyRegressor(),0.002991199,0.7672,-0.0008,0.5833,0.5,0.176,0.5833,1,0.7365
Test 1,2,"(98221, 6)",98221,6,Full,LinearRegression,LinearRegression(),0.0380404,0.7671,-0.0021,0.5687,0.5015,0.1664,0.5841,0.9039,0.7094
Test 1,2,"(98221, 6)",98221,6,Full,DecisionTreeRegressor,DecisionTreeRegressor(),1.8953197,0.1849,-9.0585,0.8386,0.8351,0.2356,0.8579,0.8563,0.8571
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=2, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.360404015,0.667,-0.4054,0.5902,0.5095,0.176,0.588,0.9962,0.7391
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=4, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.167460203,0.5899,-1.4794,0.5928,0.5134,0.1765,0.59,0.9926,0.7396
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=8, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.268638134,0.4853,-4.6252,0.595,0.5166,0.1766,0.5916,0.9902,0.7402
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=16, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.407888889,0.3936,-10.7022,0.6019,0.5269,0.1756,0.597,0.9815,0.7418
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=32, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",0.699153185,0.3638,-16.7056,0.613,0.5444,0.1727,0.6068,0.9611,0.7432
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=64, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",1.333510637,0.363,-18.8778,0.6419,0.5917,0.1725,0.6373,0.8978,0.7449
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=128, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",2.633119822,0.3619,-19.0244,0.6739,0.6356,0.1806,0.6696,0.8709,0.7566
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=256, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",5.280294418,0.3609,-19.0383,0.6986,0.6689,0.1841,0.6973,0.8524,0.7667
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=512, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",10.59846783,0.3601,-19.0582,0.7223,0.6996,0.1884,0.7252,0.8409,0.7784
Test 1,2,"(98221, 6)",98221,6,Full,XGBRegressor,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device='cuda', early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=1024, n_jobs=-1,
             num_parallel_tree=None, random_state=None, ...)",22.68004799,0.3594,-19.0818,0.7421,0.7246,0.1902,0.7491,0.8335,0.7888
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",32.672340869903564,0.7673,-0.01,0.5714,0.5005,0.0835,0.5832,0.905,0.7068
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4),Dropout:0)",1145.5235888957977,0.7258,-0.2165,0.5479,0.5006,0.0746,0.5826,0.7723,0.6562
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(2, 2),Dropout:0)",27.579131364822388,0.7671,0.0001,0.5811,0.5006,0.1627,0.5836,0.978,0.7309
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(4, 4),Dropout:0)",25.9463632106781,0.7643,-0.0037,0.4722,0.5007,0.0642,0.5845,0.3836,0.4354
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(8, 8),Dropout:0)",33.420220613479614,0.7656,-0.0676,0.552,0.502,0.0731,0.5838,0.7516,0.6421
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(16, 16),Dropout:0)",21.051542282104492,0.7669,-0.0079,0.5243,0.5084,0.0509,0.5898,0.5488,0.5504
Test 1,2,"(98221, 6)",98221,6,Full,EasyNeuralNet,"EasyNeuralNet Layers:(32, 32),Dropout:0)",107.35854053497314,0.6904,-0.7086,0.4651,0.5149,0.0674,0.6243,0.2537,0.3387
